game_id,start_time,league_name,home_team,away_team,home_score,away_score,status
264504,2025-11-13T03:00:00.000Z,ncaab,Stanford,Montana St,77,68,complete
264760,2025-11-13T03:00:00.000Z,ncaab,San Francisco,Portland State,80,70,complete
266376,2025-11-13T03:00:00.000Z,ncaab,Seattle,E. Washington,94,67,complete
267339,2025-11-13T03:00:00.000Z,ncaab,Nevada,S. Illinois,86,81,complete
271293,2025-11-13T05:00:00.000Z,ncaab,Hawaii,MS Valley St,88,56,complete
267340,2025-11-13T16:00:00.000Z,ncaab,S. Alabama,C. Michigan,66,64,complete
264769,2025-11-13T23:00:00.000Z,ncaab,West Virginia,Pittsburgh,71,49,complete
266381,2025-11-13T23:00:00.000Z,ncaab,Lafayette,Cornell,78,97,complete
266382,2025-11-13T23:30:00.000Z,ncaab,Michigan St,San Jose St,79,60,complete
263600,2025-11-14T00:00:00.000Z,ncaab,Tenn Tech,Mountaineers,86,64,complete
264505,2025-11-14T00:00:00.000Z,ncaab,Columbia,UMass Lowell,86,72,complete
264763,2025-11-14T00:00:00.000Z,ncaab,UMASS,Dolphins,94,80,complete
264764,2025-11-14T00:00:00.000Z,ncaab,Seton Hall,Monmouth,70,58,complete
264767,2025-11-14T00:00:00.000Z,ncaab,Alabama,Purdue,80,87,complete
280381,2025-11-14T00:00:00.000Z,ncaab,Howard,Alcorn State,72,64,complete
264768,2025-11-14T00:30:00.000Z,ncaab,Wichita State,Loyola (IL),95,74,complete
267568,2025-11-14T00:30:00.000Z,ncaab,Grambling St,Southern Miss,75,70,complete
264506,2025-11-14T01:00:00.000Z,ncaab,Hou Christian,UL Monroe,72,61,complete
264507,2025-11-14T01:00:00.000Z,ncaab,Alabama A&M,Charleston So,68,64,complete
264765,2025-11-14T01:00:00.000Z,ncaab,LSU,FIU,98,81,complete
266383,2025-11-14T01:00:00.000Z,ncaab,St. Thomas,Green Bay,80,61,complete
264766,2025-11-14T02:00:00.000Z,ncaab,K State,California,99,96,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
266384,2025-11-14T16:00:00.000Z,ncaab,C. Michigan,Coppin St,82,59,complete
264508,2025-11-14T23:30:00.000Z,ncaab,E. Michigan,IUIN,83,90,complete
264778,2025-11-14T23:30:00.000Z,ncaab,Lindenwood,Charleston So,77,83,complete
271998,2025-11-14T23:30:00.000Z,ncaab,Rutgers,Lehigh,84,72,complete
264509,2025-11-15T00:00:00.000Z,ncaab,Bucknell,Hofstra,77,83,complete
264771,2025-11-15T00:00:00.000Z,ncaab,Towson,Norfolk State,51,41,complete
264775,2025-11-15T00:00:00.000Z,ncaab,Rhode Island,Albany,80,61,complete
264779,2025-11-15T00:00:00.000Z,ncaab,Fairfield,Stonehill,73,71,complete
264780,2025-11-15T00:00:00.000Z,ncaab,Kentucky,E. Illinois,99,53,complete
264781,2025-11-15T00:00:00.000Z,ncaab,Iona,Fordham,76,71,complete
264784,2025-11-15T00:00:00.000Z,ncaab,Charleston,SC State,88,61,complete
264786,2025-11-15T00:00:00.000Z,ncaab,Duke,Indiana St,100,62,complete
264789,2025-11-15T00:00:00.000Z,ncaab,McNeese St,Louisiana,88,62,complete
264792,2025-11-15T00:00:00.000Z,ncaab,Wolves,Citadel,100,92,complete
266385,2025-11-15T00:00:00.000Z,ncaab,N. Iowa,Furman,70,54,complete
267343,2025-11-15T00:00:00.000Z,ncaab,Jax State,Coastal Car,74,67,complete
264770,2025-11-15T00:30:00.000Z,ncaab,Tulane,New Orleans,63,85,complete
264772,2025-11-15T00:30:00.000Z,ncaab,Drake,SIU-Edwardsville,59,61,complete
264776,2025-11-15T00:30:00.000Z,ncaab,USC,Illinois St,87,67,complete
267341,2025-11-15T00:30:00.000Z,ncaab,UAB,High Point,91,74,complete
276554,2025-11-15T00:30:00.000Z,ncaab,Ole Miss,CS Bakersfield,82,60,complete
264777,2025-11-15T01:00:00.000Z,ncaab,Rice,E TA&M,71,64,complete
264791,2025-11-15T01:00:00.000Z,ncaab,Texas Tech,Milwaukee,80,63,complete
264793,2025-11-15T01:00:00.000Z,ncaab,Creighton,MD-E Shore,84,45,complete
266387,2025-11-15T01:00:00.000Z,ncaab,Texas A&M,UCF,74,86,complete
267342,2025-11-15T01:00:00.000Z,ncaab,Iowa,Xavier,81,62,complete
267627,2025-11-15T01:00:00.000Z,ncaab,Arkansas,Samford,79,75,complete
264510,2025-11-15T01:15:00.000Z,ncaab,Brown,Hampton,63,72,complete
264773,2025-11-15T01:30:00.000Z,ncaab,DePaul,Northwestern,79,81,complete
264511,2025-11-15T02:00:00.000Z,ncaab,SFA,Ab Christian,76,66,complete
264512,2025-11-15T02:00:00.000Z,ncaab,UC Davis,Sac State,77,73,complete
264774,2025-11-15T02:00:00.000Z,ncaab,Illinois,Colgate,84,65,complete
264783,2025-11-15T02:00:00.000Z,ncaab,Colorado,Providence,97,88,complete
264785,2025-11-15T02:00:00.000Z,ncaab,UNC,NC Central,97,53,complete
264787,2025-11-15T02:00:00.000Z,ncaab,Baylor,Tarleton St,94,81,complete
264790,2025-11-15T02:00:00.000Z,ncaab,TCU,Michigan,63,67,complete
266386,2025-11-15T02:00:00.000Z,ncaab,Georgia,G Tech,92,87,complete
275587,2025-11-15T02:00:00.000Z,ncaab,Montana,Cal Poly,90,82,complete
271296,2025-11-15T02:30:00.000Z,ncaab,Utah Tech,MS Valley St,81,75,complete
264513,2025-11-15T03:00:00.000Z,ncaab,Loyola Marymount,Troy,74,63,complete
264788,2025-11-15T03:00:00.000Z,ncaab,UCLA,Arizona,65,69,complete
274945,2025-11-15T03:00:00.000Z,ncaab,Saint Mary's,North Texas,80,49,complete
264514,2025-11-15T03:30:00.000Z,ncaab,Cal Baptist,W. Illinois,69,59,complete
264782,2025-11-15T04:00:00.000Z,ncaab,Washington St,Washington,69,81,complete
264794,2025-11-15T04:00:00.000Z,ncaab,Arizona St,Gonzaga,65,77,complete
271295,2025-11-15T05:00:00.000Z,ncaab,Hawaii,Manhattan,86,56,complete
266393,2025-11-15T16:00:00.000Z,ncaab,S. Alabama,Coppin St,72,62,complete
264813,2025-11-15T17:00:00.000Z,ncaab,Georgetown,Clemson,79,74,complete
264824,2025-11-15T17:00:00.000Z,ncaab,Virginia,Marshall,104,78,complete
264826,2025-11-15T17:00:00.000Z,ncaab,Louisville,Ohio,106,81,complete
264515,2025-11-15T18:00:00.000Z,ncaab,Yale,Stony Brook,86,79,complete
264516,2025-11-15T18:00:00.000Z,ncaab,Northeastern,Vermont,74,85,complete
264798,2025-11-15T18:00:00.000Z,ncaab,Texas,UMKC,71,55,complete
264809,2025-11-15T18:00:00.000Z,ncaab,Penn State,La Salle,83,69,complete
264811,2025-11-15T18:00:00.000Z,ncaab,Toledo,Detroit,90,83,complete
264827,2025-11-15T18:00:00.000Z,ncaab,VMI,Jacksonville,67,69,complete
265995,2025-11-15T18:00:00.000Z,ncaab,New Haven,Delaware St,65,52,complete
266390,2025-11-15T18:00:00.000Z,ncaab,Boston U,Merrimack,79,91,complete
266396,2025-11-15T18:00:00.000Z,ncaab,Kent State,Cleveland St,102,95,complete
266398,2025-11-15T18:00:00.000Z,ncaab,FGCU,Chattanooga,91,73,complete
264517,2025-11-15T19:00:00.000Z,ncaab,Air Force,Miami (OH),61,76,complete
264801,2025-11-15T19:00:00.000Z,ncaab,Kansas,Princeton,76,57,complete
264802,2025-11-15T19:00:00.000Z,ncaab,SMU,Butler,87,85,complete
264808,2025-11-15T19:00:00.000Z,ncaab,Bellarmine,Wofford,86,94,complete
264815,2025-11-15T19:00:00.000Z,ncaab,Stonehill,Loyola (MD),63,74,complete
264823,2025-11-15T19:00:00.000Z,ncaab,Marquette,Maryland,82,89,complete
264825,2025-11-15T19:00:00.000Z,ncaab,Denver,UTSA,79,84,complete
266388,2025-11-15T19:00:00.000Z,ncaab,Winthrop,Mercer,105,69,complete
266397,2025-11-15T19:00:00.000Z,ncaab,Army ,Harvard,52,75,complete
266399,2025-11-15T19:00:00.000Z,ncaab,Chicago St,UIC,63,67,complete
267344,2025-11-15T19:00:00.000Z,ncaab,George Mason,New Hampshire,61,44,complete
267559,2025-11-15T19:00:00.000Z,ncaab,Temple,Boston Col,71,76,complete
278414,2025-11-15T19:00:00.000Z,ncaab,UNC Greensboro,Austin Peay,63,69,complete
264518,2025-11-15T20:00:00.000Z,ncaab,Queens,Sacred Heart,81,64,complete
264519,2025-11-15T20:00:00.000Z,ncaab,Longwood,Binghamton,90,82,complete
264799,2025-11-15T20:00:00.000Z,ncaab,Mississippi St,SE Louisiana,75,68,complete
264818,2025-11-15T20:00:00.000Z,ncaab,Vanderbilt,AR-Pine Bluff,104,75,complete
266400,2025-11-15T20:00:00.000Z,ncaab,North Alabama,E Tennessee St,74,78,complete
271999,2025-11-15T20:00:00.000Z,ncaab,SE Missouri,St. Thomas,72,84,complete
264817,2025-11-15T20:30:00.000Z,ncaab,Syracuse,Drexel,80,50,complete
266401,2025-11-15T20:30:00.000Z,ncaab,Radford,Wright State,59,92,complete
263601,2025-11-15T21:00:00.000Z,ncaab,American U,Knights,115,50,complete
264520,2025-11-15T21:00:00.000Z,ncaab,Lakers,Morgan State,86,72,complete
264795,2025-11-15T21:00:00.000Z,ncaab,Boise State,Montana St,62,58,complete
264812,2025-11-15T21:00:00.000Z,ncaab,St. Bonaventure,Youngstown St,84,80,complete
266402,2025-11-15T21:00:00.000Z,ncaab,UCSD,Idaho,75,67,complete
267586,2025-11-15T21:00:00.000Z,ncaab,Utah State,UTEP,75,51,complete
278413,2025-11-15T21:00:00.000Z,ncaab,N.J.I.T.,Fairleigh,93,81,complete
266403,2025-11-15T22:00:00.000Z,ncaab,CS Fullerton,Pacific,73,85,complete
266404,2025-11-15T22:00:00.000Z,ncaab,Texas St,Texas Southern,77,67,complete
267628,2025-11-15T22:00:00.000Z,ncaab,UC Riverside,North Dakota,74,76,complete
264800,2025-11-15T22:30:00.000Z,ncaab,Murray State,Nicholls St,99,79,complete
264804,2025-11-15T23:00:00.000Z,ncaab,St. John's,William & Mary,93,60,complete
264821,2025-11-15T23:00:00.000Z,ncaab,G Washington,Old Dominion,96,73,complete
266405,2025-11-15T23:00:00.000Z,ncaab,UT-Arlington,Missouri St,67,49,complete
276082,2025-11-15T23:00:00.000Z,ncaab,Davidson,Bowling Green,91,87,complete
264807,2025-11-16T00:00:00.000Z,ncaab,UConn,BYU,86,84,complete
264816,2025-11-16T00:00:00.000Z,ncaab,Ball State,Ark-Little Rock,62,68,complete
264819,2025-11-16T00:00:00.000Z,ncaab,Long Island,JMU,88,79,complete
264820,2025-11-16T00:00:00.000Z,ncaab,Nebraska,Oklahoma,105,99,complete
264822,2025-11-16T00:00:00.000Z,ncaab,UNC Wilmington,USC Upstate,73,60,complete
264828,2025-11-16T00:00:00.000Z,ncaab,Santa Clara,Nevada,98,83,complete
266395,2025-11-16T00:00:00.000Z,ncaab,LA Tech,Jackson St,68,51,complete
264805,2025-11-16T00:30:00.000Z,ncaab,Dayton,B-Cookman,91,82,complete
267345,2025-11-16T00:30:00.000Z,ncaab,Southern U,Champion Christian,129,64,complete
264521,2025-11-16T01:00:00.000Z,ncaab,Oral Roberts,Belmont,60,83,complete
264796,2025-11-16T01:00:00.000Z,ncaab,Saint Louis,Grand Canyon,78,64,complete
264797,2025-11-16T01:00:00.000Z,ncaab,Elon,Gardner-Webb,95,84,complete
264810,2025-11-16T01:00:00.000Z,ncaab,Villanova,Duquesne,87,77,complete
266392,2025-11-16T01:00:00.000Z,ncaab,Omaha,Southern Utah,90,85,complete
264806,2025-11-16T02:00:00.000Z,ncaab,Minnesota,Green Bay,72,65,complete
264814,2025-11-16T02:00:00.000Z,ncaab,Utah,Sam Houston,85,79,complete
266391,2025-11-16T02:00:00.000Z,ncaab,Pepperdine,N. Colorado,81,88,complete
266394,2025-11-16T02:00:00.000Z,ncaab,Wyoming,Portland,93,56,complete
280382,2025-11-16T02:00:00.000Z,ncaab,N. Mexico St,New Mexico,76,68,complete
271298,2025-11-16T02:30:00.000Z,ncaab,MS Valley St,Manhattan,73,80,complete
264803,2025-11-16T03:00:00.000Z,ncaab,San Francisco,Bradley,75,64,complete
266389,2025-11-16T03:00:00.000Z,ncaab,Seattle,Idaho State,83,74,complete
267560,2025-11-16T03:00:00.000Z,ncaab,Fresno State,Utah Valley,75,74,complete
278478,2025-11-16T03:00:00.000Z,ncaab,UC Irvine,Weber State,79,70,complete
271297,2025-11-16T05:00:00.000Z,ncaab,Hawaii,Utah Tech,68,62,complete
266416,2025-11-17T23:30:00.000Z,ncaab,Georgia,Florida A&M,87,57,complete
264848,2025-11-18T00:00:00.000Z,ncaab,Pittsburgh,Bucknell,84,50,complete
264849,2025-11-18T00:00:00.000Z,ncaab,NC State,VCU,85,79,complete
264852,2025-11-18T00:00:00.000Z,ncaab,Charleston,Drake,62,71,complete
264853,2025-11-18T00:00:00.000Z,ncaab,West Virginia,Lafayette,81,59,complete
264856,2025-11-18T00:00:00.000Z,ncaab,Penn,Saint Joe's,83,74,complete
264859,2025-11-18T00:00:00.000Z,ncaab,Tenn Tech,Wolves,59,61,complete
264862,2025-11-18T00:00:00.000Z,ncaab,High Point,Canisius,93,50,complete
264863,2025-11-18T00:00:00.000Z,ncaab,Dolphins,Niagara,74,68,complete
267346,2025-11-18T00:00:00.000Z,ncaab,Siena,Colgate,69,72,complete
267629,2025-11-18T00:00:00.000Z,ncaab,UCF,Oakland,87,83,complete
278479,2025-11-18T00:30:00.000Z,ncaab,UL Monroe,Lamar,66,79,complete
264847,2025-11-18T01:00:00.000Z,ncaab,K State,Tulsa,84,83,complete
264850,2025-11-18T01:00:00.000Z,ncaab,Iowa State,Stonehill,96,57,complete
264854,2025-11-18T01:00:00.000Z,ncaab,Missouri,Prairie View,91,73,complete
264855,2025-11-18T01:00:00.000Z,ncaab,NDSU,S. Illinois,92,85,complete
264861,2025-11-18T01:00:00.000Z,ncaab,Wisconsin,SIU-Edwardsville,94,69,complete
267347,2025-11-18T01:00:00.000Z,ncaab,SD State,Peru State,94,46,complete
264858,2025-11-18T01:30:00.000Z,ncaab,Tennessee,Rice,91,66,complete
264851,2025-11-18T02:00:00.000Z,ncaab,Clemson,North Alabama,81,61,complete
264857,2025-11-18T02:00:00.000Z,ncaab,Colorado,Alabama St,94,66,complete
264860,2025-11-18T02:00:00.000Z,ncaab,Arizona St,Georgia State,75,62,complete
266415,2025-11-18T02:00:00.000Z,ncaab,Gonzaga,Southern Utah,122,50,complete
280384,2025-11-18T02:00:00.000Z,ncaab,UCSB,Loyola Marymount,74,78,complete
264864,2025-11-18T03:00:00.000Z,ncaab,Portland State,CS Bakersfield,93,80,complete
266417,2025-11-18T03:00:00.000Z,ncaab,Oregon,Oregon St,87,75,complete
263603,2025-11-18T03:30:00.000Z,ncaab,E. Washington,Eastern Oregon,91,73,complete
266418,2025-11-18T16:00:00.000Z,ncaab,Coppin St,Knights,103,62,complete
